area_code,area_name_english,area_name_japanese,population,median_age,state_code,state_name,state_name_japanese,area_name_japanese_wo_state
01100,Hokkaido Sapporo-shi,北海道 札幌市,1973395,48.5,01,hokkaido,北海道,札幌市
01101,Hokkaido Sapporo-shi Chuo-ku,北海道 札幌市 中央区,248680,47.1,01,hokkaido,北海道,札幌市 中央区
01102,Hokkaido Sapporo-shi Kita-ku,北海道 札幌市 北区,289323,47.5,01,hokkaido,北海道,札幌市 北区
01103,Hokkaido Sapporo-shi Higashi-ku,北海道 札幌市 東区,265379,47.3,01,hokkaido,北海道,札幌市 東区
01104,Hokkaido Sapporo-shi Shiroishi-ku,北海道 札幌市 白石区,211835,47.1,01,hokkaido,北海道,札幌市 白石区
01105,Hokkaido Sapporo-shi Toyohira-ku,北海道 札幌市 豊平区,225298,46.8,01,hokkaido,北海道,札幌市 豊平区
01106,Hokkaido Sapporo-shi Minami-ku,北海道 札幌市 南区,135777,55.0,01,hokkaido,北海道,札幌市 南区
01107,Hokkaido Sapporo-shi Nishi-ku,北海道 札幌市 西区,217040,48.7,01,hokkaido,北海道,札幌市 西区
01108,Hokkaido Sapporo-shi Atsubetsu-ku,北海道 札幌市 厚別区,125083,52.8,01,hokkaido,北海道,札幌市 厚別区
01109,Hokkaido Sapporo-shi Teine-ku,北海道 札幌市 手稲区,142625,50.7,01,hokkaido,北海道,札幌市 手稲区
01110,Hokkaido Sapporo-shi Kiyota-ku,北海道 札幌市 清田区,112355,51.1,01,hokkaido,北海道,札幌市 清田区
01202,Hokkaido Hakodate-shi,北海道 函館市,251084,54.5,01,hokkaido,北海道,函館市
01203,Hokkaido Otaru-shi,北海道 小樽市,111299,58.4,01,hokkaido,北海道,小樽市
01204,Hokkaido Asahikawa-shi,北海道 旭川市,329306,52.9,01,hokkaido,北海道,旭川市
01205,Hokkaido Muroran-shi,北海道 室蘭市,82383,53.8,01,hokkaido,北海道,室蘭市
01206,Hokkaido Kushiro-shi,北海道 釧路市,165077,53.2,01,hokkaido,北海道,釧路市
01207,Hokkaido Obihiro-shi,北海道 帯広市,166536,49.7,01,hokkaido,北海道,帯広市
01208,Hokkaido Kitami-shi,北海道 北見市,115480,52.9,01,hokkaido,北海道,北見市
01209,Hokkaido Yubari-shi,北海道 夕張市,7334,66.2,01,hokkaido,北海道,夕張市
01210,Hokkaido Iwamizawa-shi,北海道 岩見沢市,79306,55.5,01,hokkaido,北海道,岩見沢市
01211,Hokkaido Abashiri-shi,北海道 網走市,35759,51.0,01,hokkaido,北海道,網走市
01212,Hokkaido Rumoi-shi,北海道 留萌市,20114,56.7,01,hokkaido,北海道,留萌市
01213,Hokkaido Tomakomai-shi,北海道 苫小牧市,170113,49.2,01,hokkaido,北海道,苫小牧市
01214,Hokkaido Wakkanai-shi,北海道 稚内市,33563,52.7,01,hokkaido,北海道,稚内市
01215,Hokkaido Bibai-shi,北海道 美唄市,20413,59.8,01,hokkaido,北海道,美唄市
01216,Hokkaido Ashibetsu-shi,北海道 芦別市,12555,63.5,01,hokkaido,北海道,芦別市
01217,Hokkaido Ebetsu-shi,北海道 江別市,121056,51.0,01,hokkaido,北海道,江別市
01218,Hokkaido Akabira-shi,北海道 赤平市,9698,64.2,01,hokkaido,北海道,赤平市
01219,Hokkaido Mombetsu-shi,北海道 紋別市,21215,55.6,01,hokkaido,北海道,紋別市
01220,Hokkaido Shibetsu-shi,北海道 士別市,17858,59.0,01,hokkaido,北海道,士別市
01221,Hokkaido Nayoro-shi,北海道 名寄市,27282,50.5,01,hokkaido,北海道,名寄市
01222,Hokkaido Mikasa-shi,北海道 三笠市,8040,63.0,01,hokkaido,北海道,三笠市
01223,Hokkaido Nemuro-shi,北海道 根室市,24636,54.8,01,hokkaido,北海道,根室市
01224,Hokkaido Chitose-shi,北海道 千歳市,97950,44.5,01,hokkaido,北海道,千歳市
01225,Hokkaido Takikawa-shi,北海道 滝川市,39490,53.7,01,hokkaido,北海道,滝川市
01226,Hokkaido Sunagawa-shi,北海道 砂川市,16486,57.9,01,hokkaido,北海道,砂川市
01227,Hokkaido Utashinai-shi,北海道 歌志内市,2989,66.7,01,hokkaido,北海道,歌志内市
01228,Hokkaido Fukagawa-shi,北海道 深川市,20039,59.8,01,hokkaido,北海道,深川市
01229,Hokkaido Furano-shi,北海道 富良野市,21131,53.6,01,hokkaido,北海道,富良野市
01230,Hokkaido Noboribetsu-shi,北海道 登別市,46391,54.6,01,hokkaido,北海道,登別市
01231,Hokkaido Eniwa-shi,北海道 恵庭市,70331,48.1,01,hokkaido,北海道,恵庭市
01233,Hokkaido Date-shi,北海道 伊達市,32826,56.0,01,hokkaido,北海道,伊達市
01234,Hokkaido Kitahiroshima-shi,北海道 北広島市,58171,52.5,01,hokkaido,北海道,北広島市
01235,Hokkaido Ishikari-shi,北海道 石狩市,56869,51.8,01,hokkaido,北海道,石狩市
01236,Hokkaido Hokuto-shi,北海道 北斗市,44302,50.5,01,hokkaido,北海道,北斗市
01303,Hokkaido Tobetsu-cho,北海道 当別町,15916,56.2,01,hokkaido,北海道,当別町
01304,Hokkaido Shinshinotsu-mura,北海道 新篠津村,3044,55.2,01,hokkaido,北海道,新篠津村
01331,Hokkaido Matsumae-cho,北海道 松前町,6260,66.2,01,hokkaido,北海道,松前町
01332,Hokkaido Fukushima-cho,北海道 福島町,3794,64.4,01,hokkaido,北海道,福島町
01333,Hokkaido Shiriuchi-cho,北海道 知内町,4167,57.9,01,hokkaido,北海道,知内町
01334,Hokkaido Kikonai-cho,北海道 木古内町,3832,65.0,01,hokkaido,北海道,木古内町
01337,Hokkaido Nanae-cho,北海道 七飯町,27686,53.6,01,hokkaido,北海道,七飯町
01343,Hokkaido Shikabe-cho,北海道 鹿部町,3760,58.3,01,hokkaido,北海道,鹿部町
01345,Hokkaido Mori-machi,北海道 森町,14338,56.5,01,hokkaido,北海道,森町
01346,Hokkaido Yakumo-cho,北海道 八雲町,15826,54.7,01,hokkaido,北海道,八雲町
01347,Hokkaido Oshamambe-cho,北海道 長万部町,5109,59.4,01,hokkaido,北海道,長万部町
01361,Hokkaido Esashi-cho,北海道 江差町,7428,56.2,01,hokkaido,北海道,江差町
01362,Hokkaido Kaminokuni-cho,北海道 上ノ国町,4306,60.8,01,hokkaido,北海道,上ノ国町
01363,Hokkaido Assabu-cho,北海道 厚沢部町,3592,60.4,01,hokkaido,北海道,厚沢部町
01364,Hokkaido Otobe-cho,北海道 乙部町,3403,61.8,01,hokkaido,北海道,乙部町
01367,Hokkaido Okushiri-cho,北海道 奥尻町,2410,59.7,01,hokkaido,北海道,奥尻町
01370,Hokkaido Imakane-cho,北海道 今金町,5072,58.6,01,hokkaido,北海道,今金町
01371,Hokkaido Setana-cho,北海道 せたな町,7398,63.0,01,hokkaido,北海道,せたな町
01391,Hokkaido Shimamaki-mura,北海道 島牧村,1356,58.8,01,hokkaido,北海道,島牧村
01392,Hokkaido Suttsu-cho,北海道 寿都町,2838,58.5,01,hokkaido,北海道,寿都町
01393,Hokkaido Kuromatsunai-cho,北海道 黒松内町,2791,57.7,01,hokkaido,北海道,黒松内町
01394,Hokkaido Rankoshi-cho,北海道 蘭越町,4568,58.5,01,hokkaido,北海道,蘭越町
01395,Hokkaido Niseko-cho,北海道 ニセコ町,5074,48.7,01,hokkaido,北海道,ニセコ町
01396,Hokkaido Makkari-mura,北海道 真狩村,2045,53.2,01,hokkaido,北海道,真狩村
01397,Hokkaido Rusutsu-mura,北海道 留寿都村,1911,46.7,01,hokkaido,北海道,留寿都村
01398,Hokkaido Kimobetsu-cho,北海道 喜茂別町,2156,57.4,01,hokkaido,北海道,喜茂別町
01399,Hokkaido Kyogoku-cho,北海道 京極町,2941,55.9,01,hokkaido,北海道,京極町
01400,Hokkaido Kutchan-cho,北海道 倶知安町,15129,46.6,01,hokkaido,北海道,倶知安町
01401,Hokkaido Kyowa-cho,北海道 共和町,5772,52.3,01,hokkaido,北海道,共和町
01402,Hokkaido Iwanai-cho,北海道 岩内町,11648,56.2,01,hokkaido,北海道,岩内町
01403,Hokkaido Tomari-mura,北海道 泊村,1569,56.9,01,hokkaido,北海道,泊村
01404,Hokkaido Kamoenai-mura,北海道 神恵内村,870,65.8,01,hokkaido,北海道,神恵内村
01405,Hokkaido Shakotan-cho,北海道 積丹町,1831,62.9,01,hokkaido,北海道,積丹町
01406,Hokkaido Furubira-cho,北海道 古平町,2745,60.7,01,hokkaido,北海道,古平町
01407,Hokkaido Niki-cho,北海道 仁木町,3180,57.7,01,hokkaido,北海道,仁木町
01408,Hokkaido Yoichi-cho,北海道 余市町,18000,57.8,01,hokkaido,北海道,余市町
01409,Hokkaido Akaigawa-mura,北海道 赤井川村,1165,50.0,01,hokkaido,北海道,赤井川村
01423,Hokkaido Nanporo-cho,北海道 南幌町,7319,57.1,01,hokkaido,北海道,南幌町
01424,Hokkaido Naie-cho,北海道 奈井江町,5120,59.9,01,hokkaido,北海道,奈井江町
01425,Hokkaido Kamisunagawa-cho,北海道 上砂川町,2841,65.9,01,hokkaido,北海道,上砂川町
01427,Hokkaido Yuni-cho,北海道 由仁町,4822,60.1,01,hokkaido,北海道,由仁町
01428,Hokkaido Naganuma-cho,北海道 長沼町,10289,57.3,01,hokkaido,北海道,長沼町
01429,Hokkaido Kuriyama-cho,北海道 栗山町,11272,58.1,01,hokkaido,北海道,栗山町
